sensors 30
relays 292
e 7 66 88.4 122880 1.63417438671149e-07 5e-08
e 7 67 88.9 122880 1.05345148224493e-07 5e-08
e 7 68 88.3 122880 1.21567353779349e-07 5e-08
e 7 70 87.3 122880 9.85075280523736e-08 5e-08
e 7 71 89.4 122880 2.91064493184881e-07 5e-08
e 7 84 84.7 122880 6.30692405930815e-08 5e-08
e 7 85 86.4 122880 9.8361149586472e-08 5e-08
e 7 86 85.8 122880 1.7571398542384e-07 5e-08
e 7 87 86.6 122880 5.27996690771853e-08 5e-08
e 7 88 89.3 122880 1.0020912480879e-07 5e-08
e 7 90 88.7 122880 1.67916714542151e-07 5e-08
e 7 293 86.1 122880 5.26187883682306e-08 5e-08
e 7 294 86.3 122880 6.22353556590917e-08 5e-08
e 7 299 88.3 122880 9.79265399451483e-08 5e-08
e 7 300 86 122880 6.45293177816245e-08 5e-08
e 7 301 87.7 122880 1.35571076470548e-07 5e-08
e 8 7 88.8 122880 3.04911099736681e-07 5e-08
e 8 10 87.8 122880 2.27404253764084e-07 5e-08
e 8 11 89 122880 1.19794951370776e-07 5e-08
e 8 70 89.6 122880 2.89433547172894e-07 5e-08
e 8 71 88.9 122880 1.11031282334419e-07 5e-08
e 8 72 87.1 122880 6.91807375458251e-08 5e-08
e 8 73 88.9 122880 1.20678756729542e-07 5e-08
e 8 84 87.7 122880 1.20388216895698e-07 5e-08
e 8 85 87 122880 7.43479533433341e-08 5e-08
e 8 86 86.3 122880 5.37248845359643e-08 5e-08
e 8 87 89.8 122880 4.0194350153254e-07 5e-08
e 8 90 89.1 122880 2.68265998705867e-07 5e-08
e 8 91 89.7 122880 1.4253171160323e-07 5e-08
e 8 92 88.6 122880 1.11276502548042e-07 5e-08
e 8 117 88.8 122880 2.63147976511449e-07 5e-08
e 8 119 86.3 122880 1.4007228979949e-07 5e-08
e 8 120 86.5 122880 7.06135907576858e-08 5e-08
e 8 121 86.1 122880 5.34533196628496e-08 5e-08
e 8 122 85.8 122880 6.70945721455136e-08 5e-08
e 8 123 89.3 122880 1.11622634472673e-07 5e-08
e 8 124 88.8 122880 1.37738600540109e-07 5e-08
e 8 125 88.2 122880 2.02098116593683e-07 5e-08
e 8 126 89.8 122880 3.14424924793736e-07 5e-08
e 8 128 89 122880 1.28861475300278e-07 5e-08
e 8 294 90 122880 3.29165741030172e-07 5e-08
e 8 301 88.5 122880 1.47232867252186e-07 5e-08
e 8 304 89.2 122880 2.60185683651062e-07 5e-08
e 9 30 89.6 122880 1.12894096079374e-07 5e-08
e 9 94 88 122880 6.19794798319918e-08 5e-08
e 9 95 87.6 122880 9.98691377384176e-08 5e-08
e 9 96 88.9 122880 1.85586301904647e-07 5e-08
e 9 97 90 122880 2.9692997468745e-07 5e-08
e 9 98 87.5 122880 5.16093820057225e-08 5e-08
e 9 99 86.9 122880 5.78056762509825e-08 5e-08
e 9 100 87.9 122880 5.62403378207941e-08 5e-08
e 9 101 87.4 122880 7.88396599769008e-08 5e-08
e 9 102 88.3 122880 1.27706863760766e-07 5e-08
e 9 104 88.8 122880 9.57014945277784e-08 5e-08
e 9 149 89.2 122880 2.20228611572496e-07 5e-08
e 9 321 89.8 122880 3.87036842148628e-07 5e-08
e 10 8 87.8 122880 2.27404253764084e-07 5e-08
e 10 11 89.3 122880 4.40381937840333e-07 5e-08
e 10 46 88.4 122880 1.67316750080269e-07 5e-08
e 10 72 88.5 122880 1.37246628599177e-07 5e-08
e 10 86 89.9 122880 3.89786971785769e-07 5e-08
e 10 117 86.1 122880 5.35911228452733e-08 5e-08
e 10 118 86.2 122880 6.48397174367222e-08 5e-08
e 10 119 86.1 122880 5.56561167417855e-08 5e-08
e 10 120 87.3 122880 9.06946429222748e-08 5e-08
e 10 121 86.2 122880 1.45399925751384e-07 5e-08
e 10 122 89.2 122880 2.0872123594458e-07 5e-08
e 10 123 89.5 122880 4.3059833503932e-07 5e-08
e 10 124 89.5 122880 2.84162383692538e-07 5e-08
e 10 125 89.7 122880 2.0050304717725e-07 5e-08
e 10 126 90 122880 1.69265280683766e-07 5e-08
e 10 127 89.3 122880 1.14687099511621e-07 5e-08
e 10 128 89.8 122880 5.22984881171591e-07 5e-08
e 10 304 85.9 122880 5.38171083693222e-08 5e-08
e 11 8 89 122880 1.19794951370776e-07 5e-08
e 11 10 89.3 122880 4.40381937840333e-07 5e-08
e 11 46 87.6 122880 1.72283382857272e-07 5e-08
e 11 70 85.9 122880 2.31082887474249e-07 5e-08
e 11 71 84.5 122880 6.59290252664628e-08 5e-08
e 11 85 88.6 122880 2.2062990765679e-07 5e-08
e 11 86 88.9 122880 1.35848594243667e-07 5e-08
e 11 119 87.9 122880 2.25956978936445e-07 5e-08
e 11 120 87.6 122880 1.22129846788254e-07 5e-08
e 11 121 89.7 122880 1.05552064403679e-07 5e-08
e 11 122 86 122880 6.90662304826023e-08 5e-08
e 11 123 86.3 122880 5.03157360835067e-08 5e-08
e 11 124 85.4 122880 5.57118718798197e-08 5e-08
e 11 125 86.4 122880 7.34652718355162e-08 5e-08
e 11 126 88.2 122880 9.91831418401906e-08 5e-08
e 11 127 87.9 122880 1.05410747901362e-07 5e-08
e 11 128 86.2 122880 5.04295365512993e-08 5e-08
e 11 129 86.1 122880 6.65240379791965e-08 5e-08
e 11 130 89.1 122880 1.00583785388312e-07 5e-08
e 11 131 87.2 122880 1.31047701097938e-07 5e-08
e 11 132 89.5 122880 3.30515504175994e-07 5e-08
e 11 133 88.8 122880 2.71217773555087e-07 5e-08
e 11 162 89.1 122880 4.59298342688989e-07 5e-08
e 11 301 87.5 122880 1.04597662228639e-07 5e-08
e 11 305 89.5 122880 1.08000594038394e-07 5e-08
e 12 32 89.3 122880 2.07117072554707e-07 5e-08
e 12 67 88.9 122880 1.56682512002277e-07 5e-08
e 12 68 87 122880 8.59584509880596e-08 5e-08
e 12 69 88.7 122880 5.70695283310429e-08 5e-08
e 12 135 89 122880 1.59240630422544e-07 5e-08
e 12 136 88.2 122880 9.08299730261305e-08 5e-08
e 12 137 88.5 122880 6.50489798553883e-08 5e-08
e 12 138 88.3 122880 6.03118264918291e-08 5e-08
e 12 139 88.3 122880 8.69291046533665e-08 5e-08
e 12 140 88.2 122880 1.33500993292179e-07 5e-08
e 12 141 89.9 122880 3.575764511644e-07 5e-08
e 12 221 87.9 122880 1.80102459496592e-07 5e-08
e 12 222 88.3 122880 1.06091123194119e-07 5e-08
e 12 223 88.3 122880 7.471370845669e-08 5e-08
e 12 224 88.5 122880 6.06097891217526e-08 5e-08
e 12 225 87.9 122880 6.77556498470954e-08 5e-08
e 12 226 88.6 122880 9.29966778411703e-08 5e-08
e 12 227 88.7 122880 1.44843927391649e-07 5e-08
e 13 149 89.7 122880 2.88730753137978e-07 5e-08
e 13 150 88.3 122880 1.26241337234959e-07 5e-08
e 13 151 86.6 122880 9.3689563768735e-08 5e-08
e 13 152 87.9 122880 6.23761415400275e-08 5e-08
e 13 153 89 122880 8.48708513611002e-08 5e-08
e 13 154 89.6 122880 1.1489981465054e-07 5e-08
e 13 156 86.3 122880 6.30900911914031e-08 5e-08
e 13 160 90 122880 7.77578872871066e-08 5e-08
e 13 161 88 122880 6.68820299169829e-08 5e-08
e 13 313 87.8 122880 9.88072206555754e-08 5e-08
e 14 124 89.3 122880 2.14896385110969e-07 5e-08
e 14 125 89.1 122880 2.19041978883602e-07 5e-08
e 14 130 89.2 122880 7.36712994420178e-08 5e-08
e 14 131 89.4 122880 6.26800197714751e-08 5e-08
e 14 132 88.5 122880 9.76491383942803e-08 5e-08
e 14 135 88.1 122880 9.86355242692382e-08 5e-08
e 14 136 89.3 122880 1.75761927669679e-07 5e-08
e 14 154 87.5 122880 2.42807809615283e-07 5e-08
e 14 155 89.6 122880 1.1438791157832e-07 5e-08
e 14 157 88.4 122880 1.09457992113093e-07 5e-08
e 14 158 89.7 122880 8.34622901328296e-08 5e-08
e 14 159 89.6 122880 2.26524020955962e-07 5e-08
e 14 162 88.5 122880 7.14249291052912e-08 5e-08
e 14 163 88.9 122880 5.51661190059652e-08 5e-08
e 14 226 89.2 122880 1.86714296091606e-07 5e-08
e 14 227 88.1 122880 1.00900329931516e-07 5e-08
e 14 305 88 122880 6.14964869218253e-08 5e-08
e 14 306 89.2 122880 1.12968630475402e-07 5e-08
e 14 310 88.7 122880 6.39685926447451e-08 5e-08
e 14 311 87.4 122880 6.86666967022534e-08 5e-08
e 14 312 87.7 122880 7.86959569825287e-08 5e-08
e 15 164 87.3 122880 5.40451282167414e-08 5e-08
e 15 165 86 122880 6.25852295802698e-08 5e-08
e 15 166 85.3 122880 6.31319430149582e-08 5e-08
e 15 167 85.1 122880 7.05100392504726e-08 5e-08
e 15 168 88.1 122880 8.59529683849777e-08 5e-08
e 15 169 87.1 122880 8.40966304281744e-08 5e-08
e 15 170 87.3 122880 9.17004043079659e-08 5e-08
e 15 171 89.4 122880 1.21463341714997e-07 5e-08
e 15 172 88.8 122880 2.03815993267542e-07 5e-08
e 15 190 89.7 122880 1.82117762727507e-07 5e-08
e 15 228 87.1 122880 1.42036634450169e-07 5e-08
e 15 229 86.8 122880 1.07578767757396e-07 5e-08
e 15 230 88.2 122880 1.5135394144403e-07 5e-08
e 15 231 86.1 122880 7.98612393472418e-08 5e-08
e 15 232 84.7 122880 5.94218970655629e-08 5e-08
e 16 60 86.8 122880 9.6452333372811e-08 5e-08
e 16 169 88.2 122880 2.56249062776006e-07 5e-08
e 16 170 86.7 122880 2.22022360377974e-07 5e-08
e 16 171 89.3 122880 2.49404722503771e-07 5e-08
e 16 172 87.6 122880 8.93164175627484e-08 5e-08
e 16 173 86.6 122880 6.93227413562749e-08 5e-08
e 16 174 86.2 122880 5.91409993459079e-08 5e-08
e 16 175 85.7 122880 5.74713420064727e-08 5e-08
e 16 176 86.3 122880 7.35160026392036e-08 5e-08
e 16 177 89 122880 1.09396734700642e-07 5e-08
e 16 283 88.2 122880 1.10868226659767e-07 5e-08
e 16 284 88.3 122880 9.37810330783717e-08 5e-08
e 16 285 87.4 122880 8.00027942756541e-08 5e-08
e 16 286 87.1 122880 8.58289906855825e-08 5e-08
e 16 287 87.5 122880 2.29902655013028e-07 5e-08
e 16 288 89.7 122880 2.08654921376391e-07 5e-08
e 16 289 88.6 122880 2.37740938714324e-07 5e-08
e 16 290 89.1 122880 3.11917243364291e-07 5e-08
e 17 178 89.8 122880 2.14062875115422e-07 5e-08
e 17 179 89.8 122880 9.78408947334194e-08 5e-08
e 17 180 88 122880 6.61791435536087e-08 5e-08
e 17 182 90 122880 1.02152591598764e-07 5e-08
e 17 183 89.7 122880 2.68390371650619e-07 5e-08
e 17 206 89.5 122880 1.20757382628569e-07 5e-08
e 18 19 89.9 122880 3.14117782245358e-07 5e-08
e 18 186 89 122880 5.05115076455134e-08 5e-08
e 18 191 88.9 122880 8.58673531474281e-08 5e-08
e 18 192 89.1 122880 6.68824777671229e-08 5e-08
e 18 193 88.6 122880 1.12905660082322e-07 5e-08
e 18 195 89.9 122880 8.12319794069226e-07 5e-08
e 18 201 89.6 122880 5.54549674929644e-08 5e-08
e 18 307 89.7 122880 5.98730718944386e-08 5e-08
e 19 18 89.9 122880 3.14117782245358e-07 5e-08
e 19 186 89.8 122880 2.77797544861259e-07 5e-08
e 19 187 89.7 122880 3.21482857089905e-07 5e-08
e 19 192 89.3 122880 1.11312041466138e-07 5e-08
e 19 193 89.4 122880 6.60617767078469e-08 5e-08
e 19 194 88.8 122880 5.80589151667756e-08 5e-08
e 19 195 88.9 122880 9.08431101833524e-08 5e-08
e 19 197 89.8 122880 6.19148177091756e-08 5e-08
e 19 202 89.4 122880 2.05626232112408e-07 5e-08
e 19 203 89.6 122880 1.10223329834036e-07 5e-08
e 19 307 90 122880 2.11694543990725e-07 5e-08
e 20 27 88.8 122880 1.53916179627852e-07 5e-08
e 20 171 89.9 122880 4.78021927310353e-07 5e-08
e 20 207 89.1 122880 9.30345080511639e-08 5e-08
e 20 208 88.9 122880 5.93366551757514e-08 5e-08
e 20 209 89.2 122880 7.29366414300266e-08 5e-08
e 20 210 89 122880 6.20134449739652e-08 5e-08
e 20 211 88.2 122880 7.2283690640817e-08 5e-08
e 20 212 88 122880 1.04535044728685e-07 5e-08
e 20 213 88.2 122880 1.82385106107942e-07 5e-08
e 20 217 89.5 122880 4.50253107377378e-07 5e-08
e 20 229 89.1 122880 1.67858937018179e-07 5e-08
e 20 230 88.2 122880 9.66336660826631e-08 5e-08
e 20 231 89.3 122880 2.66167940337677e-07 5e-08
e 20 308 88.5 122880 6.09537516377047e-08 5e-08
e 21 62 89.6 122880 2.06910829351154e-07 5e-08
e 21 64 87.9 122880 6.70263227083385e-08 5e-08
e 21 139 89.2 122880 2.21077592153637e-07 5e-08
e 21 140 88.3 122880 1.14168130805141e-07 5e-08
e 21 141 87.3 122880 7.57976267326184e-08 5e-08
e 21 142 87.2 122880 6.22636668001941e-08 5e-08
e 21 143 89.6 122880 5.54332579627281e-08 5e-08
e 21 144 88.3 122880 6.4688496876088e-08 5e-08
e 21 145 88.6 122880 8.70447775097281e-08 5e-08
e 21 146 88.1 122880 5.92534509641365e-08 5e-08
e 21 220 87.9 122880 6.07127346426257e-08 5e-08
e 21 221 88.6 122880 9.61577630345506e-08 5e-08
e 21 222 88.9 122880 1.56284191533973e-07 5e-08
e 21 223 89.9 122880 3.68892335655948e-07 5e-08
e 21 279 89.9 122880 2.68824430960512e-07 5e-08
e 21 280 88.2 122880 1.33980472823314e-07 5e-08
e 21 281 88.7 122880 8.83708632318608e-08 5e-08
e 21 282 88.4 122880 1.34020876076849e-07 5e-08
e 21 287 89.9 122880 3.14075121573418e-07 5e-08
e 22 1 89.5 122880 1.20400192284806e-07 5e-08
e 22 261 89.8 122880 1.60556314234924e-07 5e-08
e 22 262 89.3 122880 1.1282841363876e-07 5e-08
e 22 263 87.6 122880 1.11276449401451e-07 5e-08
e 22 264 88.2 122880 1.29921294377943e-07 5e-08
e 22 265 88.5 122880 7.80428511019493e-08 5e-08
e 23 47 86.3 122880 5.71917118657648e-08 5e-08
e 23 54 85.1 122880 6.42043892123578e-08 5e-08
e 23 55 87.4 122880 1.10086722348436e-07 5e-08
e 23 56 89.3 122880 2.81917881285842e-07 5e-08
e 23 147 89 122880 1.52710634419326e-07 5e-08
e 23 148 87.7 122880 8.89712141728363e-08 5e-08
e 23 242 89.3 122880 1.74020656091516e-07 5e-08
e 23 243 88.7 122880 9.57242844706206e-08 5e-08
e 23 244 86.4 122880 5.8772031157416e-08 5e-08
e 23 245 87.3 122880 6.35146959421573e-08 5e-08
e 23 246 88.5 122880 1.02444151533553e-07 5e-08
e 24 235 89 122880 1.86701945699539e-07 5e-08
e 24 236 89.4 122880 1.0678819414635e-07 5e-08
e 24 237 88.3 122880 1.12213780591386e-07 5e-08
e 24 249 88.8 122880 2.26329411160321e-07 5e-08
e 24 250 87.6 122880 1.32463091465031e-07 5e-08
e 24 251 88.4 122880 1.05095111223181e-07 5e-08
e 24 252 89.3 122880 8.49764670584118e-07 5e-08
e 24 255 87.6 122880 1.86916479025178e-07 5e-08
e 24 256 88 122880 1.03422199909246e-07 5e-08
e 24 257 87.9 122880 5.92347507789139e-08 5e-08
e 24 258 85.5 122880 6.45232688556545e-08 5e-08
e 24 259 87.6 122880 5.01957335465381e-08 5e-08
e 24 260 88 122880 7.29760208259247e-08 5e-08
e 24 261 88.8 122880 1.21659277777802e-07 5e-08
e 24 271 88.6 122880 3.00836201709529e-07 5e-08
e 24 272 88.1 122880 1.41116456631844e-07 5e-08
e 24 297 88.6 122880 1.09902752558635e-07 5e-08
e 24 309 87.4 122880 9.79776317291603e-08 5e-08
e 25 31 86.7 122880 1.73699066102425e-07 5e-08
e 25 210 89.9 122880 8.45426855451906e-07 5e-08
e 25 215 89.3 122880 9.57602478339167e-08 5e-08
e 25 216 87.1 122880 6.08624719903561e-08 5e-08
e 25 252 89.8 122880 4.5354800371899e-07 5e-08
e 25 253 86.4 122880 1.43927023703162e-07 5e-08
e 25 254 87.1 122880 1.66671199160911e-07 5e-08
e 25 255 89.5 122880 2.43245152531134e-07 5e-08
e 25 260 90 122880 8.71700385055821e-07 5e-08
e 25 261 89 122880 7.13197352305886e-07 5e-08
e 25 267 88.1 122880 1.1144466800201e-07 5e-08
e 25 268 86.1 122880 6.79654743597275e-08 5e-08
e 25 269 86.4 122880 5.19167561521734e-08 5e-08
e 25 270 86.1 122880 6.31331429529686e-08 5e-08
e 25 271 88.6 122880 1.02468375265528e-07 5e-08
e 25 273 86.2 122880 5.93622027123135e-08 5e-08
e 25 274 86.5 122880 8.42442625348351e-08 5e-08
e 26 31 89.1 122880 5.78486916303097e-07 5e-08
e 26 145 88.6 122880 2.00514330233707e-07 5e-08
e 26 213 89 122880 2.89220158604812e-07 5e-08
e 26 217 88.6 122880 1.18829507171783e-07 5e-08
e 26 218 88.4 122880 8.31517450909117e-08 5e-08
e 26 219 88.2 122880 5.51704606323321e-08 5e-08
e 26 254 89 122880 8.74503696858189e-07 5e-08
e 26 276 89.1 122880 1.14404870119115e-07 5e-08
e 26 277 88.9 122880 7.26143556721341e-08 5e-08
e 26 278 88.5 122880 5.31952494115688e-08 5e-08
e 26 279 87.7 122880 6.24138919987372e-08 5e-08
e 26 280 88.7 122880 8.53941613927099e-08 5e-08
e 26 281 88.4 122880 1.26033599490305e-07 5e-08
e 26 282 88.2 122880 1.04941431765258e-07 5e-08
e 26 283 89.9 122880 1.1117955121865e-07 5e-08
e 26 284 89.5 122880 1.485713839239e-07 5e-08
e 26 285 88.5 122880 1.26117082518564e-07 5e-08
e 26 287 87.4 122880 7.31798243067072e-08 5e-08
e 26 288 86.9 122880 6.17513652137627e-08 5e-08
e 26 289 88.2 122880 6.66683851976754e-08 5e-08
e 26 290 89.4 122880 8.52355150731889e-08 5e-08
e 26 291 88 122880 1.25887243215447e-07 5e-08
e 26 298 88.7 122880 1.37277502747505e-07 5e-08
e 27 20 88.8 122880 1.53916179627852e-07 5e-08
e 27 165 89.3 122880 2.51034867988318e-07 5e-08
e 27 169 88.9 122880 2.35831387336505e-07 5e-08
e 27 170 88 122880 2.15675600037224e-07 5e-08
e 27 171 88.9 122880 1.09110880842987e-07 5e-08
e 27 173 89.4 122880 4.67167674585788e-07 5e-08
e 27 207 88.1 122880 5.83880675187268e-08 5e-08
e 27 210 88.7 122880 1.54878274297672e-07 5e-08
e 27 211 88.3 122880 9.98395149701414e-08 5e-08
e 27 212 88.8 122880 7.03904975641657e-08 5e-08
e 27 213 88.4 122880 6.1502622545445e-08 5e-08
e 27 214 89.3 122880 9.39370850915117e-08 5e-08
e 27 215 89.5 122880 1.93384834311498e-07 5e-08
e 27 217 88.3 122880 7.26918593548505e-08 5e-08
e 27 218 88 122880 9.65005692531631e-08 5e-08
e 27 219 88.2 122880 1.79064651844404e-07 5e-08
e 27 230 88.5 122880 3.15219200447373e-07 5e-08
e 27 278 88.7 122880 2.17127068072932e-07 5e-08
e 27 288 89.7 122880 3.42172342442769e-07 5e-08
e 27 289 87.2 122880 1.49303967355151e-07 5e-08
e 27 290 88.3 122880 9.60823491224701e-08 5e-08
e 27 291 87.9 122880 6.32397709776126e-08 5e-08
e 27 292 88.9 122880 6.07591152715205e-08 5e-08
e 27 308 88.6 122880 8.77724648880822e-08 5e-08
e 28 43 89.2 122880 9.46544469148145e-07 5e-08
e 28 79 88.3 122880 6.08373053613323e-08 5e-08
e 28 83 88.2 122880 2.01132176347443e-07 5e-08
e 28 302 88.1 122880 1.02336327959329e-07 5e-08
e 29 51 87.6 122880 2.06288064573596e-07 5e-08
e 29 52 87.8 122880 9.3173860418275e-08 5e-08
e 29 53 86.2 122880 6.03717765903445e-08 5e-08
e 29 57 89.9 122880 8.95470643543839e-07 5e-08
